Module Resource Usage Distribution Estimates
Generated at: Jan 06, 2022 18:41:21

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
robot:robot                        	      42(0)	       0(0)	      68(0)	     0(0)	     0(0)	
+motor_r:step_motor                	      34(0)	       0(0)	      59(0)	     0(0)	     0(0)	
 +speed:motor_speed                	     27(27)	       0(0)	     50(50)	     0(0)	     0(0)	
 +control:pmod_step_driver         	       7(7)	       0(0)	       9(9)	     0(0)	     0(0)	
+motor_l:step_motor                	       8(0)	       0(0)	       9(0)	     0(0)	     0(0)	
 +speed:motor_speed                	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	
 +control:pmod_step_driver         	       7(7)	       0(0)	       9(9)	     0(0)	     0(0)	
